,As of,Rank,Title,Type,Days In Top 10
773,2020-06-17,4,Alexa & Katie,TV Show,4
774,2020-06-17,5,Space Force,TV Show,19
775,2020-06-17,6,F is for Family,TV Show,5
776,2020-06-17,7,Avatar: The Last Airbender,TV Show,30
777,2020-06-17,8,Pok̩mon Journeys: The Series,TV Show,5
778,2020-06-17,9,How to Get Away with Murder,TV Show,1
779,2020-06-17,10,Jeffrey Epstein: Filthy Rich,TV Show,21
781,2020-06-18,2,13 Reasons Why,TV Show,13
782,2020-06-18,3,Mr. Iglesias,TV Show,1
784,2020-06-18,5,Space Force,TV Show,20
785,2020-06-18,6,Alexa & Katie,TV Show,5
786,2020-06-18,7,Avatar: The Last Airbender,TV Show,31
787,2020-06-18,8,F is for Family,TV Show,6
788,2020-06-18,9,Pok̩mon Journeys: The Series,TV Show,6
789,2020-06-18,10,How to Get Away with Murder,TV Show,2
791,2020-06-19,2,13 Reasons Why,TV Show,14
792,2020-06-19,3,The Order,TV Show,1
793,2020-06-19,4,Mr. Iglesias,TV Show,2
794,2020-06-19,5,Space Force,TV Show,21
795,2020-06-19,6,Avatar: The Last Airbender,TV Show,32
797,2020-06-19,8,F is for Family,TV Show,7
799,2020-06-19,10,Alexa & Katie,TV Show,6
800,2020-06-20,1,Floor is Lava,TV Show,1
802,2020-06-20,3,The Order,TV Show,2
803,2020-06-20,4,13 Reasons Why,TV Show,15
805,2020-06-20,6,Mr. Iglesias,TV Show,3
806,2020-06-20,7,Space Force,TV Show,22
808,2020-06-20,9,Avatar: The Last Airbender,TV Show,33
810,2020-06-21,1,Floor is Lava,TV Show,2
812,2020-06-21,3,The Order,TV Show,3
815,2020-06-21,6,13 Reasons Why,TV Show,16
816,2020-06-21,7,Space Force,TV Show,23
819,2020-06-21,10,Avatar: The Last Airbender,TV Show,34
820,2020-06-22,1,Floor is Lava,TV Show,3
822,2020-06-22,3,The Order,TV Show,4
826,2020-06-22,7,13 Reasons Why,TV Show,17
828,2020-06-22,9,Space Force,TV Show,24
830,2020-06-23,1,Floor is Lava,TV Show,4
831,2020-06-23,2,The Order,TV Show,5
836,2020-06-23,7,13 Reasons Why,TV Show,18
838,2020-06-23,9,Avatar: The Last Airbender,TV Show,35
839,2020-06-23,10,Space Force,TV Show,25
840,2020-06-24,1,Floor is Lava,TV Show,5
841,2020-06-24,2,The Order,TV Show,6
847,2020-06-24,8,13 Reasons Why,TV Show,19
849,2020-06-24,10,Avatar: The Last Airbender,TV Show,36
850,2020-06-25,1,Floor is Lava,TV Show,6
851,2020-06-25,2,The Order,TV Show,7
857,2020-06-25,8,13 Reasons Why,TV Show,20
859,2020-06-25,10,Avatar: The Last Airbender,TV Show,37
860,2020-06-26,1,Floor is Lava,TV Show,7
861,2020-06-26,2,The Order,TV Show,8
866,2020-06-26,7,13 Reasons Why,TV Show,21
869,2020-06-26,10,Avatar: The Last Airbender,TV Show,38
870,2020-06-27,1,Floor is Lava,TV Show,8
873,2020-06-27,4,The Order,TV Show,9
878,2020-06-27,9,Crazy Delicious,TV Show,1
879,2020-06-27,10,13 Reasons Why,TV Show,22
881,2020-06-28,2,Floor is Lava,TV Show,9
884,2020-06-28,5,The Order,TV Show,10
887,2020-06-28,8,Crazy Delicious,TV Show,2
889,2020-06-28,10,Home Game,TV Show,1
891,2020-06-29,2,Floor is Lava,TV Show,10
894,2020-06-29,5,The Order,TV Show,11
895,2020-06-29,6,Home Game,TV Show,2
896,2020-06-29,7,Crazy Delicious,TV Show,3
